Feature,Importance
COD_S11_SB11201320271512,9.447996328946596e-07
SCHOOL_NAME_LICEO LORENÂ´S                                                  ,9.290703365628997e-07
COD_S11_SB11201220009692,9.28653988413709e-07
SCHOOL_NAME_IE SEVILLA,9.271683326052489e-07
SCHOOL_NAME_INST SAN FRANCISCO DE ASIS,9.264582042333061e-07
COD_S11_SB11201220320972,9.131840982908064e-07
SCHOOL_NAME_COL SAN BUENAVENTURA,9.128654772449413e-07
COD_S11_SB11201320025217,9.063213142019868e-07
UNIVERSITY_UNIVERSIDAD SANTO TOMAS-TUNJA,8.980578168645383e-07
SCHOOL_NAME_COL CAFAM                                                                                           ,8.9490646604758e-07
SCHOOL_NAME_EXTERN DEL SUR PSICOPEDAGOGICO,8.940884033253624e-07
COD_S11_SB11201320399163,8.820911140435202e-07
"UNIVERSITY_CORPORACION UNIVERSITARIA DE INVESTIGACION Y DESARROLLO -""UDI""-BUCARAMANGA",8.778836219486293e-07
COD_S11_SB11201320224130,8.763014192989773e-07
SCHOOL_NAME_COLEGIO COLOMBO SUECO,8.724135347754821e-07
COD_S11_SB11201320415582,8.711008821372213e-07
UNIVERSITY_UNIVERSIDAD FRANCISCO DE PAULA SANTANDER-CUCUTA,8.6604029772993e-07
ACADEMIC_PROGRAM_TOPOGRAPHIC ENGINEERY,8.649167671159539e-07
SCHOOL_NAME_COL FRANCISCO JIMENEZ DE CISNEROS,8.626695412060165e-07
COD_S11_SB11201320470018,8.588633957705216e-07
SCHOOL_NAME_COL PARROQUIAL NUESTRA SEÑORA DE CHIQUINQUIRA,8.580392744350505e-07
SCHOOL_NAME_COL LA SAGRADA FAMILIA,8.562641610945888e-07
Cod_SPro_EK201830012616,8.537993610598247e-07
UNIVERSITY_UNIVERSIDAD DEL SINÚ 'Elías Bechara Zainúm' - UNISINÚ-CARTAGENA,8.493279891263323e-07
SCHOOL_NAME_COL ANGLO AMERICANO,8.404830288915629e-07
ACADEMIC_PROGRAM_TEXTILE ENGINEERING,8.400515319008859e-07
SCHOOL_NAME_COL EL ESCORIAL                                                                                     ,8.279266302812203e-07
Cod_SPro_EK201830144528,8.272599375264931e-07
SCHOOL_NAME_INST SANTA MARIA DE LA CRUZ,8.198009005721789e-07
Cod_SPro_EK201830192950,8.19712604837195e-07
SCHOOL_NAME_I.E. SOR MATILDE SASTOQUE,8.156430682889435e-07
COD_S11_SB11201220332141,8.154835197750926e-07
SCHOOL_NAME_COLEGIO LUIS VARGAS TEJADA (IED),8.101813670909029e-07
SCHOOL_NAME_COL NUEVO REINO DE GRANADA,8.059825919605902e-07
SCHOOL_NAME_COL  JULIO PEREZ FERRERO,8.036506138086574e-07
COD_S11_SB11201220021310,8.000251962371072e-07
SCHOOL_NAME_INSTITUCION EDUCATIVA SIMON BOLIVAR,7.943265754673252e-07
SCHOOL_NAME_IE NORMAL SUPERIOR DE MONTERREY,7.934618719537469e-07
Cod_SPro_EK201830205204,7.93365829900483e-07
SCHOOL_NAME_COL DE LA SALLE,7.8970499098212e-07
UNIVERSITY_UNIVERSIDAD NACIONAL DE COLOMBIA-MEDELLIN,7.86596746605732e-07
SCHOOL_NAME_INSTITUCION EDUCATIVA COLEGIO BASICO BUENOS AIRES,7.800525208864791e-07
SCHOOL_NAME_INSTITUCION EDUCATIVA DE LA BOQUILLA,7.767917108324909e-07
Cod_SPro_EK201830024584,7.693091841589975e-07
SCHOOL_NAME_COLEGIO MARYLAND,7.653875576698081e-07
SCHOOL_NAME_GIMN SAN ANGELO                                                                                     ,7.631865366589443e-07
ACADEMIC_PROGRAM_CIVIL ENGINEERING,7.598045411186979e-07
SCHOOL_NAME_INEM JULIAN MOTTA SALAS,7.576391396852917e-07
SCHOOL_NAME_INSTITUTO TECNOLOGICO SISTEMAS SIGLO XXI,7.480588901389225e-07
SCHOOL_NAME_LIC  SAMARIO,7.476940734056855e-07
SCHOOL_NAME_COL. MAYOR DE NTRA SEÑORA,7.447714616790716e-07
UNIVERSITY_UNIVERSIDAD DE ANTIOQUIA-MEDELLIN,7.406463532840076e-07
UNIVERSITY_FUNDACION UNIVERSITARIA EMPRESARIAL DE LA CAMARA DE COMERCIO DE Bogotá -BOGOTÁ D.C.,7.398115305694383e-07
UNIVERSITY_UNIVERSIDAD DE LA SABANA-CHIA,7.366182831407321e-07
SCHOOL_NAME_COLEGIO HERNANDO DURAN DUSSAN (IED),7.35431272662652e-07
Cod_SPro_EK201830120779,7.337135593465174e-07
Cod_SPro_EK201830154882,7.290204853753257e-07
UNIVERSITY_CORPORACION UNIVERSITARIA  UNITEC-BOGOTÁ D.C.,7.283385914610957e-07
COD_S11_SB11201420144028,7.260902036440337e-07
UNIVERSITY_UNIVERSIDAD SANTO TOMAS-BOGOTÁ D.C.,7.227506297925028e-07
COD_S11_SB11201220110933,7.16174999359701e-07
SCHOOL_NAME_COL AGUSTINIANO CAMPESTRE,7.139681413589129e-07
SCHOOL_NAME_COL DE NSTRA SRA DE LA CONSOLACION,7.108596872978321e-07
Cod_SPro_EK201830144537,7.099655181990597e-07
Cod_SPro_EK201830117363,7.051658216878284e-07
SCHOOL_NAME_COL BUENOS AIRES,7.034518409012784e-07
COD_S11_SB11201320071021,7.033667427469171e-07
SCHOOL_NAME_COL CENTRO CULTURAL                                                                                 ,7.028988839458095e-07
Cod_SPro_EK201830169105,7.019350823876301e-07
SCHOOL_NAME_I.E.M. CHAMBU,7.008104791842489e-07
COD_S11_SB11201410002229,6.975721956734357e-07
UNIVERSITY_CORPORACION UNIVERSITARIA DEL META-VILLAVICENCIO,6.975668878160134e-07
SCHOOL_NAME_GIMN LOS ANDES                                                                                      ,6.878934231300222e-07
SCHOOL_NAME_IE PEDRO CASTRO MONSALVO,6.820103343832753e-07
COD_S11_SB11201310000938,6.811387555879614e-07
COD_S11_SB11201320451923,6.79590664062093e-07
SCHOOL_NAME_COLEGIO BELLAVISTA (IED),6.66574076694327e-07
SCHOOL_NAME_ESCUELA NORMAL SUPERIOR FRANCISCO DE PAULA SANTANDER,6.58713858209178e-07
SCHOOL_NAME_COLEGIO DEPARTAMENTAL INTEGRADO SAGRADO CORAZON DE JESUS,6.571111089626527e-07
SCHOOL_NAME_COL EL CARMELO,6.535189151424726e-07
Cod_SPro_EK201830200378,6.503171049365362e-07
SCHOOL_NAME_COL MONTFERRI                                                                                       ,6.47345886244425e-07
Cod_SPro_EK201830225638,6.459769248720336e-07
Cod_SPro_EK201830179134,6.407349530569669e-07
Cod_SPro_EK201830152061,6.402526929509755e-07
COD_S11_SB11201220266890,6.388561747237354e-07
PEOPLE_HOUSE_Three,6.376359171178048e-07
Cod_SPro_EK201830089061,6.354169219935512e-07
UNIVERSITY_UNIVERSIDAD CATOLICA DE COLOMBIA-BOGOTÁ D.C.,6.340595527138681e-07
SCHOOL_NAME_IE SUCRE,6.339946933139253e-07
COD_S11_SB11201220263598,6.324491505023498e-07
SCHOOL_NAME_IE EL AGUILA,6.323825322407704e-07
COD_S11_SB11201220414416,6.303128772252046e-07
SCHOOL_NAME_COL CALASANZ FEMENINO,6.17727092593077e-07
